is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
8.15,-28.3,14.86,20.15,0.28,-1.6,0.4,-2.2,-16.63,-16.29
9.53,-18.04,15.98,28.24,0.35,-0.78,0.44,-1.03,-20.11,-23.72
20.2,-9.65,16.11,18.84,1.01,-0.72,1.44,-1.16,-11.88,-21.84
3.79,-8.4,17.92,24.02,-0.01,-0.52,-0.02,-0.63,-35.58,-15.47
10.52,16.42,16.27,22.52,0.4,0.55,0.57,0.7,-15.42,-11.2
7.63,-23.14,15.59,14.9,0.23,-1.82,0.33,-2.05,-28.12,-19.63
19.91,9.69,15.67,13.01,1.02,0.44,1.56,0.57,-13.99,-8.47
3.37,3.14,16.4,11.68,-0.04,-0.07,-0.05,-0.12,-25.05,-8.21
-0.77,42.97,15.33,15.16,-0.31,2.57,-0.39,3.88,-26.39,-5.46
15.79,-13.44,14.3,13.64,0.82,-1.28,1.12,-1.54,-11.02,-9.31
11.88,1.35,15.01,15.07,0.53,-0.18,0.78,-0.19,-12.87,-8.75
12.03,47.13,16.68,15.8,0.48,2.73,0.59,4.21,-22.51,-7.28
7.51,0.86,15.99,28.21,0.22,-0.11,0.32,-0.15,-19.21,-17.91
20.22,29.44,14.27,11.46,1.14,2.22,1.44,2.98,-21.36,-3.84
8.72,17.94,16.31,18.32,0.29,0.76,0.41,1.27,-27.27,-10.79
14.05,-8.24,14.83,19.34,0.68,-0.63,1.01,-0.85,-11.63,-16.48
11.15,3.1,16.0,27.66,0.45,-0.03,0.65,-0.04,-19.78,-18.99
5.51,65.29,15.54,20.9,0.1,2.93,0.12,5.08,-21.84,-8.47
7.79,12.82,19.02,20.36,0.2,0.43,0.25,0.78,-19.9,-8.3
4.77,-7.88,15.89,13.56,0.05,-0.88,0.06,-1.36,-29.44,-14.12
3.22,-6.66,16.82,16.35,-0.05,-0.65,-0.06,-1.02,-25.33,-12.76
13.56,9.21,16.01,28.45,0.6,0.18,0.88,0.28,-19.87,-11.88
1.26,-3.88,14.1,13.59,-0.19,-0.58,-0.27,-0.86,-22.75,-6.67
13.35,-30.38,19.08,20.08,0.49,-1.71,0.68,-1.81,-18.97,-17.74
7.02,-12.37,17.79,24.73,0.17,-0.66,0.23,-0.81,-40.46,-14.87
17.6,28.96,13.86,14.73,0.98,1.69,1.35,2.57,-22.73,-7.11
18.68,41.47,17.05,15.5,0.86,2.42,1.17,3.56,-23.39,-7.2
-0.31,-0.92,21.24,15.3,-0.2,-0.32,-0.27,-0.44,-45.34,-8.99
3.37,-37.58,13.31,18.26,-0.05,-2.28,-0.07,-3.2,-18.52,-22.19
-12.17,-1.74,16.43,20.59,-0.98,-0.28,-1.18,-0.36,-45.69,-13.43
5.85,42.01,17.31,24.28,0.11,1.57,0.14,2.51,-19.21,-7.38
-10.57,3.39,18.84,7.92,-0.77,-0.08,-1.02,-0.11,-46.42,-4.08
6.52,18.43,18.2,17.27,0.14,0.84,0.18,1.34,-19.56,-10.06
2.6,15.97,13.97,16.61,-0.1,0.72,-0.14,1.12,-22.91,-8.01
13.39,-5.9,17.4,25.78,0.54,-0.38,0.81,-0.41,-15.79,-19.03
-4.58,-23.7,14.76,17.39,-0.58,-1.59,-0.83,-1.89,-43.03,-13.11
4.22,18.98,19.31,14.15,0.01,1.06,0.01,1.3,-35.84,-10.69
6.23,1.94,14.41,11.76,0.15,-0.18,0.22,-0.26,-27.02,-10.09
6.41,15.65,14.53,13.35,0.17,0.87,0.25,1.58,-19.13,-6.61
13.9,26.11,16.01,21.82,0.62,1.01,0.88,1.39,-14.63,-11.6
4.73,3.79,21.98,15.99,0.03,-0.01,0.05,-0.02,-25.72,-10.92
-7.96,-16.27,16.08,26.96,-0.74,-0.75,-0.97,-1.12,-38.24,-26.65
1.54,22.95,17.94,15.43,-0.14,1.23,-0.16,1.62,-22.68,-5.27
0.41,-9.6,14.74,18.54,-0.24,-0.73,-0.35,-1.02,-34.95,-9.54
16.73,-30.55,14.23,24.52,0.89,-1.41,1.35,-1.91,-12.57,-26.1
9.64,12.33,18.93,19.69,0.3,0.42,0.4,0.6,-18.7,-12.56
0.87,28.49,16.54,15.8,-0.19,1.55,-0.26,2.21,-21.96,-7.81
6.39,-12.09,13.71,18.89,0.17,-0.85,0.24,-1.23,-23.49,-17.78
-5.92,-5.1,16.02,20.94,-0.62,-0.43,-0.82,-0.62,-39.64,-9.52
-0.25,16.96,15.86,12.09,-0.27,1.07,-0.38,2.01,-25.7,-7.29
2.15,22.18,18.86,24.33,-0.1,0.75,-0.13,1.0,-25.44,-12.1
3.02,63.13,18.09,21.84,-0.05,2.71,-0.07,4.15,-27.59,-12.73
-3.71,-5.48,16.78,11.16,-0.46,-0.85,-0.58,-1.07,-31.83,-5.46
8.59,7.56,17.65,13.11,0.26,0.27,0.34,0.38,-34.25,-7.34
3.53,19.2,17.28,13.22,-0.03,1.15,-0.04,2.04,-14.88,-7.2
14.45,6.03,19.34,16.54,0.54,0.12,0.66,0.16,-25.23,-10.75
24.92,8.23,16.15,24.82,1.3,0.17,1.75,0.21,-14.8,-18.05
6.88,1.47,12.55,12.16,0.23,-0.21,0.33,-0.3,-25.1,-6.97
6.35,9.65,12.41,21.0,0.19,0.27,0.3,0.47,-15.4,-12.73
10.06,7.51,17.61,18.45,0.34,0.19,0.49,0.26,-21.04,-13.87
-4.5,-30.09,15.5,22.73,-0.55,-1.5,-0.69,-2.41,-25.59,-28.08
-0.19,-32.35,17.95,25.5,-0.23,-1.43,-0.29,-1.78,-31.55,-22.56
10.53,-12.96,13.96,16.99,0.47,-1.0,0.63,-1.37,-21.39,-18.29
25.41,-9.47,17.12,12.55,1.25,-1.07,1.77,-1.63,-14.21,-10.0
4.55,43.07,19.68,9.06,0.03,4.31,0.04,7.8,-24.18,-3.65
-1.43,13.09,15.65,18.19,-0.35,0.5,-0.44,0.81,-32.88,-11.8
4.43,-0.6,15.34,8.93,0.03,-0.51,0.04,-0.99,-27.42,-6.39
8.28,40.19,13.84,15.11,0.31,2.4,0.44,3.79,-19.67,-6.97
5.94,8.67,16.25,14.26,0.12,0.33,0.16,0.44,-21.09,-7.77
1.99,-14.1,16.46,22.81,-0.12,-0.79,-0.15,-0.98,-24.2,-22.27
-0.74,29.59,16.92,18.0,-0.28,1.42,-0.39,2.15,-20.28,-8.21
7.35,-10.55,16.79,18.94,0.2,-0.77,0.25,-1.0,-19.48,-9.83
11.81,-12.16,14.17,17.99,0.55,-0.9,0.77,-1.21,-16.52,-11.04
4.0,-4.97,17.81,19.54,-0.0,-0.46,-0.0,-0.48,-18.91,-13.47
-6.3,21.37,17.64,13.6,-0.58,1.28,-0.72,1.62,-28.19,-5.8
5.01,13.21,18.64,12.09,0.05,0.76,0.07,1.12,-25.54,-5.19
14.74,47.99,17.59,16.17,0.61,2.72,0.93,3.97,-20.08,-5.33
2.85,11.78,18.45,11.15,-0.06,0.7,-0.09,0.92,-27.92,-5.77
-7.47,39.26,14.69,11.84,-0.78,2.98,-1.04,3.75,-31.75,-5.28
10.42,4.41,12.64,12.29,0.51,0.03,0.8,0.05,-11.89,-10.22
11.62,18.13,14.34,14.44,0.53,0.98,0.68,1.52,-17.1,-7.1
8.76,14.86,14.54,20.77,0.33,0.52,0.43,0.6,-22.86,-8.0
2.78,-34.46,15.87,23.87,-0.08,-1.61,-0.1,-2.13,-31.42,-23.79
0.94,-17.13,14.99,17.32,-0.2,-1.22,-0.26,-1.94,-24.6,-12.15
9.37,-6.52,15.12,12.73,0.35,-0.83,0.48,-1.21,-19.79,-9.72
7.04,-21.08,14.64,26.24,0.21,-0.96,0.26,-1.3,-23.8,-18.91
8.49,11.26,14.73,13.29,0.3,0.55,0.43,0.71,-13.06,-6.5
13.74,-1.8,19.09,18.41,0.51,-0.31,0.66,-0.44,-27.41,-9.61
6.01,5.38,18.21,14.21,0.11,0.1,0.16,0.18,-28.6,-8.09
1.77,-1.6,16.16,21.27,-0.14,-0.26,-0.18,-0.31,-30.18,-14.79
13.81,28.24,18.17,13.6,0.54,1.78,0.68,2.89,-21.76,-4.92
13.26,25.3,17.52,17.37,0.53,1.23,0.68,1.76,-20.78,-8.15
6.11,5.19,17.65,17.55,0.12,0.07,0.17,0.07,-18.58,-12.82
5.47,9.06,16.4,12.47,0.09,0.41,0.14,0.5,-22.73,-5.5
12.23,0.03,14.78,12.8,0.56,-0.31,0.73,-0.42,-15.61,-10.79
21.57,26.93,18.85,13.1,0.93,1.75,1.22,2.66,-18.12,-5.47
13.26,19.99,18.99,11.67,0.49,1.37,0.67,1.9,-19.14,-9.52
2.75,16.88,16.18,21.41,-0.08,0.6,-0.1,0.71,-19.2,-13.2
-1.52,32.41,16.61,12.95,-0.33,2.19,-0.44,3.87,-27.51,-8.56
