date,current_value,cum_pnl
2024-02-22,128895.97468582152,-2631.22062744141
2024-02-23,129407.62061847685,-2119.5746947860753
2024-02-26,127595.4239729309,-3931.7713403320354
2024-02-27,129520.6028980255,-2006.5924152374305
2024-02-28,130350.27078662871,-1176.92452663422
2024-02-29,130216.87835212707,-1310.316961135868
2024-03-01,130393.66024298668,-1675.2782924652113
2024-03-04,134118.05063689232,2049.1121014404284
2024-03-05,131343.6209812832,-725.3175541687021
2024-03-06,131738.20557941438,-330.7329560375225
2024-03-07,132352.81669661522,283.8781611633288
2024-03-08,133402.07616965292,1333.1376342010487
2024-03-11,136138.3840048027,4069.445469350814
2024-03-12,133572.05389635087,1503.1153608989703
2024-03-13,133183.1971920395,1114.2586565875995
2024-03-14,131234.32883913995,-834.6096963119526
2024-03-15,130788.01325173378,-1280.9252837181107
2024-03-18,130500.11880674362,-1568.819728708269
2024-03-19,132978.18020317078,909.2416677188862
2024-03-20,133143.74274795532,1074.8042125034317
2024-03-21,133557.0141976738,1488.0756622219074
2024-03-22,134710.40424322127,2641.465707769393
2024-03-25,135263.83798916818,3194.899453716277
2024-03-26,135449.77006379128,3380.831528339385
2024-03-27,139892.70369749068,7823.765162038802
2024-03-28,142387.3548076439,10318.416272192
2024-04-01,141606.73342603684,2302.2622243499745
2024-04-02,142395.47486852645,3091.003666839599
2024-04-03,142213.82916103365,2909.3579593467703
2024-04-04,142101.16090055465,2796.6896988677972
2024-04-05,141840.65412431717,2536.182922630309
2024-04-08,142917.50458997727,3613.0333882904047
2024-04-09,144405.41983314516,5100.948631458282
2024-04-10,141697.25520761491,2392.7840059280384
2024-04-11,140563.0327729225,1258.5615712356557
2024-04-12,140158.18131219863,853.7101105117795
2024-04-15,139044.56815229414,-259.9030493927007
2024-04-16,136889.04266724587,-2415.4285344409955
2024-04-17,139261.27078142166,-43.20042026519832
2024-04-18,140817.04583810805,1512.5746364212032
2024-04-19,143009.83463859558,3705.3634369087217
2024-04-22,143797.78660045625,4493.315398769378
2024-04-23,144340.71371847152,5036.242516784668
2024-04-24,145092.8511644554,5788.379962768554
2024-04-25,145082.80223773955,5778.331036052704
2024-04-26,143735.39327505112,4430.922073364257
2024-04-29,145439.9691598892,6135.497958202362
2024-04-30,144363.779019413,5059.307817726134
2024-05-01,146114.5559501648,4195.378386001581
2024-05-02,146804.2188092804,4885.0412451171815
2024-05-03,149877.10382019042,7957.9262560272155
2024-05-06,150612.00133888243,8692.823774719232
2024-05-07,152336.38050224303,10417.202938079827
2024-05-08,154823.67712638853,12904.499562225334
2024-05-09,157889.59933883668,15970.421774673454
2024-05-10,157463.74455566407,15544.566991500848
2024-05-13,157367.55368888855,15448.376124725335
2024-05-14,157984.98678726197,16065.809223098748
2024-05-15,160234.6892038727,18315.511639709468
2024-05-16,158753.15983062744,16833.982266464227
2024-05-17,157523.50553840637,15604.327974243159
2024-05-20,158430.04236457823,16510.86480041503
2024-05-21,161383.30348220826,19464.125918045036
2024-05-22,158695.88005477906,16776.70249061584
2024-05-23,156327.6236039734,14408.446039810173
